1. Time Dummy Moving:;36,88
1. Time Dummy in LOS:;39,47493
1. Time Player Braking:;39,90745
2. Time Dummy Moving:;50,75203
2. Time Dummy in LOS:;54,15056
2. Time Player Braking:;54,16475
3. Time Dummy Moving:;104,5019
3. Time Dummy in LOS:;108,1296
3. Time Player Braking:;108,1439
4. Time Dummy Moving:;146,0704
4. Time Dummy in LOS:;148,7845
4. Time Player Braking:;149,2016
5. Time Dummy Moving:;225,7281
5. Time Dummy in LOS:;228,1056
5. Time Player Braking:;228,7061
6. Time Dummy Moving:;249,1887
6. Time Dummy in LOS:;251,4999
6. Time Player Braking:;252,2514
